task,slot,end_epoch,end_iso,start_epoch,prompt_tokens,prompt_ms,prompt_tok_s,gen_tokens,gen_ms,gen_tok_s,total_ms
42552,3,1789745623,2026-09-18T23:33:43+08:00,1789745504.867,285,13431.78,21.22,352,104700.78,3.35,118132.56
42906,3,1789745907,2026-09-18T23:38:27+08:00,1789745623.134,338,16176.9,20.89,896,267688.71,3.34,283865.61
43804,3,1789746102,2026-09-18T23:41:42+08:00,1789745907.088,394,18869.53,20.88,585,176042.08,3.32,194911.6
44391,3,1789746203,2026-09-18T23:43:23+08:00,1789746101.639,472,21672.91,21.78,264,79688.2,3.3,101361.11
44657,3,1789746225,2026-09-18T23:43:45+08:00,1789746203.443,167,8076.42,20.68,48,13480.94,3.49,21557.36
44707,2,1789746440,2026-09-18T23:47:20+08:00,1789746224.544,1855,83498.59,22.22,450,131957.73,3.4,215456.32
45163,2,1789746561,2026-09-18T23:49:21+08:00,1789746440.678,117,6737.69,17.37,388,113584.54,3.41,120322.23
45553,2,1789746740,2026-09-18T23:52:20+08:00,1789746560.768,166,8108.33,20.47,580,171123.39,3.38,179231.72
46135,2,1789746795,2026-09-18T23:53:15+08:00,1789746740.41,88,4717.09,18.66,174,49872.58,3.47,54589.66
46311,2,1789747222,2026-09-19T00:00:22+08:00,1789746795.1,149,7881.16,18.91,1376,419018.84,3.28,426900.01
47689,2,1789747387,2026-09-19T00:03:07+08:00,1789747221.477,99,5518.44,17.94,546,160004.28,3.41,165522.72
48237,2,1789747481,2026-09-19T00:04:41+08:00,1789747386.665,150,7972.9,18.81,296,86362.42,3.42,94335.32
48535,2,1789747812,2026-09-19T00:10:12+08:00,1789747481.011,165,8483.36,19.45,1069,322506.06,3.31,330989.42
49606,2,1789747911,2026-09-19T00:11:51+08:00,1789747812.149,151,7584.11,19.91,312,91266.94,3.41,98851.05
49920,2,1789748554,2026-09-19T00:22:34+08:00,1789747911.027,127,6692.46,18.98,2048,636280.78,3.22,642973.24
51970,2,1789748678,2026-09-19T00:24:38+08:00,1789748554.856,134,7397.73,18.11,395,115745.81,3.4,123143.54
52367,1,1789748778,2026-09-19T00:26:18+08:00,1789748677.145,1004,42807.88,23.45,214,58047.61,3.67,100855.49
52587,1,1789748798,2026-09-19T00:26:38+08:00,1789748778.716,90,4607.55,19.53,55,14676.23,3.68,19283.78
52644,1,1789748812,2026-09-19T00:26:52+08:00,1789748797.469,85,4218.08,20.15,39,10312.53,3.68,14530.61
52685,1,1789748950,2026-09-19T00:29:10+08:00,1789748812.03,153,7367.42,20.77,476,130602.21,3.64,137969.63
53163,1,1789749092,2026-09-19T00:31:32+08:00,1789748950.619,166,7663.32,21.66,485,133717.73,3.62,141381.05
53650,1,1789749152,2026-09-19T00:32:32+08:00,1789749091.743,130,6341.16,20.5,200,53916.33,3.69,60257.49
53852,1,1789749265,2026-09-19T00:34:25+08:00,1789749151.495,159,7987.57,19.91,385,105517.49,3.64,113505.06
54240,1,1789749402,2026-09-19T00:36:42+08:00,1789749265.186,118,6362.53,18.55,476,130451.36,3.64,136813.89
54719,0,1789749544,2026-09-19T00:39:04+08:00,1789749402.427,1080,47301.73,22.83,346,94271.18,3.66,141572.91
55071,0,1789749596,2026-09-19T00:39:56+08:00,1789749543.56,98,5172.39,18.95,177,47267.6,3.72,52439.99
55250,0,1789749821,2026-09-19T00:43:41+08:00,1789749596.642,69,4043.64,17.06,788,220314.32,3.57,224357.96
56040,0,1789749929,2026-09-19T00:45:29+08:00,1789749821.279,147,7489.23,19.63,365,100231.41,3.63,107720.64
56407,3,1789750101,2026-09-19T00:48:21+08:00,1789749928.499,1258,55027.31,22.86,405,117474.05,3.44,172501.36
56818,3,1789750130,2026-09-19T00:48:50+08:00,1789750101.417,121,6579.76,18.39,76,22002.9,3.41,28582.67
56897,3,1789750306,2026-09-19T00:51:46+08:00,1789750129.893,153,7548.56,20.27,579,168557.99,3.43,176106.54
57478,3,1789750474,2026-09-19T00:54:34+08:00,1789750305.81,74,4178.03,17.71,561,164011.47,3.41,168189.49
58041,3,1789750662,2026-09-19T00:57:42+08:00,1789750474.07,157,7406.55,21.2,621,180523.79,3.43,187930.34
58664,3,1789750815,2026-09-19T01:00:15+08:00,1789750661.847,109,5625.97,19.37,505,147527.39,3.42,153153.37
59171,3,1789750928,2026-09-19T01:02:08+08:00,1789750815.451,65,3490.4,18.62,371,109058.33,3.39,112548.73
59544,3,1789751184,2026-09-19T01:06:24+08:00,1789750927.416,156,7681.1,20.31,853,248902.61,3.42,256583.71
60399,3,1789751806,2026-09-19T01:16:46+08:00,1789751184.066,201,9794.95,20.52,2048,612139.55,3.34,621934.49
62449,3,1789752472,2026-09-19T01:27:52+08:00,1789751806.565,807,38703.58,20.85,2048,626731.04,3.27,665434.63
64500,3,1789752582,2026-09-19T01:29:42+08:00,1789752472.261,157,7361.72,21.33,349,102377.55,3.4,109739.27
64851,2,1789752650,2026-09-19T01:30:50+08:00,1789752581.231,1164,49214.17,23.65,71,19554.72,3.58,68768.89
64928,2,1789752752,2026-09-19T01:32:32+08:00,1789752650.318,122,6407.96,19.04,341,95274.18,3.57,101682.14
65271,2,1789752770,2026-09-19T01:32:50+08:00,1789752752.478,91,4602.8,19.77,47,12919.0,3.56,17521.81
65320,2,1789753035,2026-09-19T01:37:15+08:00,1789752770.014,288,13551.99,21.25,877,251434.16,3.48,264986.15
66199,2,1789753118,2026-09-19T01:38:38+08:00,1789753035.028,278,13301.4,20.9,247,69670.5,3.53,82971.9
66448,2,1789753136,2026-09-19T01:38:56+08:00,1789753117.386,105,5404.98,19.43,48,13209.02,3.56,18613.99
66498,2,1789753225,2026-09-19T01:40:25+08:00,1789753136.3,268,12539.67,21.37,270,76160.64,3.53,88700.31
