ts_epoch,ts_iso,cpu_pct,cpu0_pct,cpu1_pct,cpu2_pct,cpu3_pct,cpu0_mhz,cpu1_mhz,cpu2_mhz,cpu3_mhz,temp_c,throttled,mem_used_mb,mem_avail_mb,swap_used_mb,disk_read_kbs,disk_write_kbs,proc_pid,proc_cpu_pct,proc_rss_mb,power_w,w_0V8_AON,w_0V8_SW,w_1V1_SYS,w_1V8_SYS,w_3V3_ADC,w_3V3_DAC,w_3V3_SYS,w_3V7_WL_SW,w_BATT,w_DDR_VDD2,w_DDR_VDDQ,w_EXT5V,w_HDMI,w_VDD_CORE
1789916950.574,2026-09-20T23:09:10,0.0,0.0,0.0,1.0,0.0,1500,1500,1500,1500,44.1,0x0,3204,4858,268,0.0,0.0,106778,0.0,6100.5,1.532,0.0025,0.2696,0.1919,0.2222,0,0,0.1652,0.0072,0,0.0087,0,0,0.1314,0.533
1789916951.592,2026-09-20T23:09:11,0.5,0.0,0.0,2.0,0.0,1500,1500,1500,1500,44.6,0x0,3202,4860,268,0.0,0.0,106778,0.0,6100.5,1.523,0.0026,0.2689,0.1932,0.2199,0.0002,0.0004,0.1653,0,0,0.0065,0,0,0.1275,0.539
1789916952.609,2026-09-20T23:09:12,0.5,0.0,0.0,1.0,1.0,1500,1500,1500,1500,45.2,0x0,3202,4860,268,0.0,0.0,106778,0.0,6100.5,1.706,0.0026,0.269,0.2078,0.275,0.0008,0,0.2714,0,0,0.0032,0,0,0.1299,0.5458
1789916953.628,2026-09-20T23:09:13,0.2,0.0,0.0,1.0,0.0,1500,1500,1500,1500,45.8,0x0,3202,4860,268,0.0,0.0,106778,0.0,6100.5,1.54,0.0025,0.2668,0.1934,0.2222,0.0008,0,0.1755,0,0,0.0065,0,0,0.1334,0.5392
1789916954.647,2026-09-20T23:09:14,0.0,0.0,0.0,1.0,0.0,1500,1500,1500,1500,45.8,0x0,3201,4861,268,0.0,0.0,106778,0.0,6100.5,1.545,0.0027,0.2688,0.2106,0.2196,0.0016,0,0.1744,0,0,0.0011,0,0,0.1269,0.5394
1789916955.665,2026-09-20T23:09:15,1.0,1.0,2.9,1.9,0.0,1500,1500,1500,1500,45.2,0x0,3207,4855,268,0.0,0.0,106778,0.0,6100.5,1.525,0.0026,0.2719,0.1934,0.2159,0.0016,0,0.1719,0,0,0.0076,0,0,0.1269,0.5328
1789916956.684,2026-09-20T23:09:16,0.5,1.0,0.0,0.0,0.0,1500,1500,1500,1500,44.6,0x0,3207,4855,268,0.0,0.0,106778,0.0,6100.5,1.539,0.0024,0.2701,0.1954,0.2266,0.0016,0,0.1684,0,0,0.0076,0,0,0.1276,0.539
1789916957.703,2026-09-20T23:09:17,0.2,0.0,0.0,2.0,0.0,1500,1500,1500,1500,44.6,0x0,3208,4855,268,0.0,0.0,106778,0.0,6100.5,1.539,0.0025,0.2704,0.2055,0.215,0.0008,0,0.1649,0,0,0.0076,0,0,0.1327,0.5394
1789916958.722,2026-09-20T23:09:18,0.5,0.0,0.0,0.0,0.0,1500,1500,1500,1500,44.1,0x0,3206,4856,268,0.0,0.0,106778,0.0,6100.5,1.53,0.0026,0.268,0.1957,0.2229,0,0,0.1721,0,0,0.0032,0,0,0.1326,0.5328
1789916959.74,2026-09-20T23:09:19,0.2,0.0,0.0,1.9,0.0,1500,1500,1500,1500,44.1,0x0,3205,4857,268,0.0,0.0,106778,0.0,6100.5,1.525,0.0026,0.268,0.1924,0.2206,0,0.0004,0.1656,0,0,0.0065,0,0,0.1301,0.5392
1789916960.758,2026-09-20T23:09:20,0.2,0.0,0.0,0.0,0.0,1500,1500,1500,1500,44.6,0x0,3205,4857,268,0.0,0.0,106778,0.0,6100.5,1.533,0.0026,0.2711,0.1947,0.2179,0,0,0.172,0.0108,0,0.0011,0,0,0.1299,0.533
1789916961.776,2026-09-20T23:09:21,0.5,0.0,0.0,1.9,0.0,1600,1600,1600,1600,44.6,0x0,3204,4858,268,0.0,0.0,106778,0.0,6100.5,1.535,0.0025,0.2705,0.1934,0.2239,0.0008,0,0.1788,0,0,0.0065,0,0,0.1256,0.5332
1789916962.797,2026-09-20T23:09:22,0.2,0.0,0.0,1.0,0.0,1500,1500,1500,1500,44.6,0x0,3203,4859,268,0.0,0.0,106778,0.0,6100.5,1.565,0.0026,0.2752,0.2053,0.2246,0,0,0.1776,0,0,0.0076,0,0,0.1262,0.5456
1789916963.815,2026-09-20T23:09:23,0.2,0.0,0.0,1.0,0.0,1500,1500,1500,1500,44.6,0x0,3204,4858,268,0.0,0.0,106778,0.0,6100.5,1.543,0.0027,0.2713,0.1943,0.2211,0,0,0.1848,0,0,0.0087,0,0,0.1269,0.5332
1789916964.834,2026-09-20T23:09:24,0.2,0.0,1.0,1.0,0.0,1500,1500,1500,1500,44.6,0x0,3203,4860,268,0.0,0.0,106778,0.0,6100.5,1.549,0.0027,0.2705,0.204,0.2188,0,0,0.1652,0.0036,0,0.0108,0,0,0.1274,0.5456
1789916965.853,2026-09-20T23:09:25,0.7,0.0,0.0,1.9,0.0,1500,1500,1500,1500,44.6,0x0,3203,4860,268,0.0,0.0,106778,0.0,6100.5,1.531,0.0025,0.2701,0.1934,0.2177,0.0016,0.0004,0.1659,0.0036,0,0.0065,0,0,0.13,0.5394
1789916966.871,2026-09-20T23:09:26,0.2,0.0,0.0,1.0,0.0,1500,1500,1500,1500,45.2,0x0,3203,4860,268,0.0,0.0,106778,0.0,6100.5,1.538,0.0027,0.268,0.1923,0.2194,0,0.0004,0.1777,0,0,0.0043,0,0,0.1269,0.5458
1789916967.89,2026-09-20T23:09:27,0.2,0.0,0.0,2.0,0.0,1500,1500,1500,1500,44.6,0x0,3203,4860,268,0.0,0.0,106778,0.0,6100.5,1.536,0.0026,0.2674,0.2087,0.2186,0,0,0.1722,0,0,0.0033,0,0,0.1244,0.5394
1789916968.909,2026-09-20T23:09:28,0.5,0.0,0.0,0.0,0.0,1500,1500,1500,1500,45.2,0x0,3201,4862,268,0.0,0.0,106778,0.0,6100.5,1.536,0.0025,0.2672,0.1945,0.2239,0,0,0.1714,0,0,0.0076,0,0,0.1301,0.5392
1789916969.928,2026-09-20T23:09:29,12.0,10.8,2.0,32.0,3.9,2400,2400,2400,2400,46.3,0x0,474,7588,268,0.0,0.0,130895,0.0,39.7,2.477,0.0024,0.2824,0.1934,0.2318,0.0002,0,0.39,0.0071,0,0.0131,0,0,0.1249,1.2321
1789916970.944,2026-09-20T23:09:30,24.3,2.0,0.0,0.0,96.1,2400,2400,2400,2400,47.4,0x0,620,7442,268,0.0,0.0,130895,97.4,116.2,3.14,0.0027,0.3039,0.1948,0.2506,0.0002,0,0.1753,0,0,0.0958,0.0015,0,0.1253,1.9898
1789916971.964,2026-09-20T23:09:31,25.7,0.0,0.0,2.0,100.0,2400,2400,2400,2400,47.4,0x0,621,7442,268,0.0,0.0,130895,99.0,123.7,3.415,0.0027,0.2817,0.194,0.2335,0.0002,0,0.1775,0.0036,0,0.0433,0,0,0.1257,2.3529
1789916972.981,2026-09-20T23:09:33,5.9,0.0,0.0,1.0,22.5,2400,2400,2400,2400,46.9,0x0,569,7494,268,0.0,0.0,130895,22.6,216.2,2.47,0.0026,0.2721,0.1951,0.233,0.0002,0,0.3824,0,0,0.0098,0,0,0.1251,1.2494
1789916973.996,2026-09-20T23:09:34,1.0,0.0,0.0,1.0,2.0,2400,2400,2400,2400,45.8,0x0,588,7474,268,0.0,0.0,130895,1.0,303.2,2.49,0.0027,0.272,0.1954,0.2346,0,0,0.3974,0,0,0.0151,0,0,0.1236,1.2487
1789916975.011,2026-09-20T23:09:35,0.7,0.0,0.0,1.0,2.9,1600,1600,1600,1600,45.2,0x0,570,7493,268,0.0,0.0,130895,2.0,383.7,1.787,0.0026,0.2735,0.1945,0.2257,0,0.0004,0.4007,0.0036,0,0.013,0,0,0.1272,0.5456
1789916976.033,2026-09-20T23:09:36,1.5,2.9,0.0,2.0,0.0,1600,1600,1600,1600,44.6,0x0,583,7479,268,0.0,0.0,130895,1.0,465.2,1.731,0.0027,0.2712,0.194,0.2211,0.0016,0,0.3522,0,0,0.0097,0,0,0.1324,0.546
1789916977.055,2026-09-20T23:09:37,0.5,1.9,0.0,1.0,0.0,1600,1600,1600,1600,44.6,0x0,579,7483,268,0.0,0.0,130895,2.0,551.7,2.192,0.0026,0.2712,0.1945,0.2208,0.0002,0,0.5619,0,0,0.0086,0,0,0.1306,0.8017
1789916978.076,2026-09-20T23:09:38,11.5,12.0,6.7,12.7,15.7,2400,2400,2400,2400,46.3,0x0,655,7407,268,0.0,0.0,130895,3.9,634.2,2.592,0.0025,0.2731,0.1962,0.2341,0.0002,0,0.5104,0.0072,0,0.0119,0,0,0.1243,1.2321
1789916979.09,2026-09-20T23:09:39,0.2,0.0,0.0,0.0,0.0,2400,2400,2400,2400,47.4,0x0,607,7456,268,0.0,0.0,130895,2.0,717.8,2.585,0.0027,0.271,0.2119,0.2264,0,0,0.4782,0,0,0.0086,0,0,0.1269,1.2594
1789916980.104,2026-09-20T23:09:40,1.2,2.0,0.0,2.0,0.0,2400,2400,2400,2400,45.8,0x0,607,7455,268,0.0,0.0,130895,1.0,787.3,2.473,0.0025,0.2696,0.2042,0.2284,0.0016,0,0.3755,0.0072,0,0.0108,0,0,0.1238,1.2494
1789916981.118,2026-09-20T23:09:41,0.2,1.0,0.0,1.0,0.0,2400,2400,2400,2400,46.9,0x0,599,7464,268,0.0,0.0,130895,0.0,850.8,2.43,0.0027,0.2721,0.2172,0.2328,0,0,0.3257,0,0,0.0065,0,0,0.1237,1.249
1789916982.133,2026-09-20T23:09:42,3.0,1.0,0.0,8.9,2.0,2400,2400,2400,2400,46.3,0x0,596,7466,268,0.0,0.0,130895,2.0,918.8,2.84,0.0025,0.2719,0.1956,0.2291,0.0008,0,0.4282,0.3251,0,0.013,0,0,0.1235,1.2501
1789916983.147,2026-09-20T23:09:43,0.5,0.0,2.0,0.0,0.0,1600,1600,1600,1600,45.2,0x0,592,7470,268,0.0,0.0,130895,2.0,991.8,1.753,0.0026,0.2712,0.1957,0.2206,0.0004,0,0.3681,0,0,0.0087,0,0,0.1274,0.5589
1789916984.169,2026-09-20T23:09:44,0.7,1.0,0.0,1.9,0.0,1600,1600,1600,1600,45.2,0x0,592,7471,268,0.0,0.0,130895,1.0,1068.9,1.983,0.0026,0.2723,0.1957,0.2222,0.0008,0,0.3504,0.0036,0,0.0076,0,0,0.1264,0.802
1789916985.192,2026-09-20T23:09:45,1.2,1.0,2.9,0.0,0.0,1500,1500,1500,1500,45.2,0x0,639,7423,268,0.0,0.0,130895,2.0,1139.4,1.805,0.0026,0.2704,0.1929,0.2222,0.0004,0,0.4292,0,0,0.0097,0,0,0.1323,0.5456
1789916986.21,2026-09-20T23:09:46,2.5,2.0,6.9,1.0,0.0,1500,1500,1500,1500,45.8,0x0,646,7417,268,0.0,0.0,130895,2.0,1217.4,1.948,0.0025,0.2691,0.194,0.2229,0.0016,0,0.5776,0.0036,0,0.012,0,0,0.1262,0.539
1789916987.228,2026-09-20T23:09:47,0.5,0.0,1.0,0.0,0.0,1500,1500,1500,1500,45.2,0x0,658,7404,268,0.0,0.0,130895,1.0,1291.9,1.71,0.0023,0.2697,0.1943,0.2155,0,0,0.353,0,0,0.0087,0,0,0.1268,0.5394
1789916988.246,2026-09-20T23:09:48,1.5,1.0,4.8,1.9,1.0,1500,1500,1500,1500,45.2,0x0,598,7464,268,0.0,0.0,130895,2.0,1355.9,1.727,0.0027,0.2716,0.2065,0.2188,0.0004,0,0.349,0,0,0.0065,0,0,0.1256,0.5456
1789916989.264,2026-09-20T23:09:49,1.0,1.0,0.0,1.0,0.0,1500,1500,1500,1500,45.2,0x0,595,7468,268,0.0,0.0,130895,1.0,1419.4,1.901,0.0025,0.2705,0.1929,0.2214,0,0.0004,0.5242,0.0036,0,0.0097,0,0,0.1299,0.5458
1789916990.282,2026-09-20T23:09:50,1.7,3.9,2.0,1.0,1.0,1500,1500,1500,1500,45.2,0x0,606,7456,268,0.0,0.0,130895,1.0,1474.0,1.749,0.0031,0.2715,0.1954,0.2252,0,0,0.3781,0,0,0.0054,0,0,0.1249,0.5458
1789916991.3,2026-09-20T23:09:51,0.2,1.0,0.0,0.0,0.0,1500,1500,1500,1500,45.2,0x0,610,7453,268,0.0,0.0,130895,1.0,1524.5,1.977,0.0026,0.2723,0.2043,0.2231,0,0,0.5971,0.0036,0,0.0076,0,0,0.1267,0.5396
1789916992.318,2026-09-20T23:09:52,0.7,1.0,2.0,1.0,0.0,1500,1500,1500,1500,44.6,0x0,608,7455,268,0.0,0.0,130895,1.0,1582.5,1.844,0.0025,0.2715,0.1955,0.2207,0.0008,0,0.475,0,0,0.0098,0,0,0.123,0.5454
1789916993.338,2026-09-20T23:09:53,0.7,0.0,1.0,0.0,0.0,1500,1500,1500,1500,45.2,0x0,610,7453,268,0.0,0.0,130895,1.0,1631.0,1.974,0.0025,0.2737,0.1934,0.2196,0.0016,0,0.6039,0,0,0.0108,0,0,0.1287,0.5394
1789916994.356,2026-09-20T23:09:54,2.7,1.0,4.0,1.0,5.0,2400,2400,2400,2400,46.3,0x0,619,7443,268,0.0,0.0,130895,2.0,1697.0,2.898,0.0025,0.2688,0.1962,0.2323,0.0004,0,0.4551,0.3656,0,0.0098,0,0,0.127,1.2401
1789916995.371,2026-09-20T23:09:55,0.7,2.0,0.0,1.0,0.0,2400,2400,2400,2400,45.2,0x0,629,7433,268,0.0,0.0,130895,0.0,1749.0,2.661,0.0026,0.2672,0.1933,0.2266,0,0,0.5761,0,0,0.0097,0,0,0.1281,1.2573
1789916996.387,2026-09-20T23:09:56,0.5,0.0,1.0,1.0,1.0,2400,2400,2400,2400,46.3,0x0,633,7429,268,0.0,0.0,130895,1.0,1811.0,2.499,0.0026,0.2701,0.193,0.2283,0.0002,0,0.4178,0.0072,0,0.0054,0,0,0.1256,1.2487
1789916997.403,2026-09-20T23:09:57,0.5,1.0,0.0,1.0,1.0,2400,2400,2400,2400,46.9,0x0,642,7421,268,0.0,0.0,130895,1.0,1862.0,2.434,0.0025,0.27,0.1934,0.2328,0.0004,0,0.3517,0,0,0.0108,0,0,0.1238,1.2487
1789916998.42,2026-09-20T23:09:58,0.7,1.0,0.0,0.0,1.0,2400,2400,2400,2400,47.4,0x0,650,7413,268,0.0,0.0,130895,1.0,1911.5,2.565,0.0028,0.2721,0.2062,0.2274,0,0,0.4617,0,0,0.0109,0,0,0.1268,1.2576
1789916999.436,2026-09-20T23:09:59,0.7,2.0,1.0,1.0,0.0,1500,1500,1500,1500,45.8,0x0,646,7417,268,0.0,0.0,130895,1.0,1984.5,1.729,0.0026,0.27,0.1951,0.2252,0,0.0002,0.3311,0.0072,0,0.012,0,0,0.1275,0.5585
1789917000.468,2026-09-20T23:10:00,0.5,0.0,0.0,0.0,1.0,1500,1500,1500,1500,46.3,0x0,649,7414,268,0.0,0.0,130895,1.0,2046.5,1.73,0.0028,0.2727,0.1945,0.2229,0,0,0.3523,0,0,0.0119,0,0,0.1275,0.5458
1789917001.489,2026-09-20T23:10:01,0.7,1.9,0.0,0.0,1.0,1500,1500,1500,1500,45.8,0x0,654,7408,268,0.0,0.0,130895,1.0,2098.5,1.805,0.0025,0.2758,0.2075,0.2234,0,0,0.4071,0.0072,0,0.0119,0,0,0.124,0.5458
1789917002.508,2026-09-20T23:10:02,1.0,1.0,0.0,1.0,2.0,1500,1500,1500,1500,45.2,0x0,662,7401,268,0.0,0.0,130895,1.0,2152.0,1.744,0.0025,0.2736,0.1933,0.2216,0,0,0.352,0.0072,0,0.0141,0,0,0.1274,0.5523
1789917003.527,2026-09-20T23:10:03,1.2,1.0,1.0,1.0,1.0,1500,1500,1500,1500,45.2,0x0,645,7417,268,0.0,0.0,130895,1.0,2208.5,1.904,0.0027,0.2712,0.1918,0.2207,0.0008,0,0.521,0.0036,0,0.0076,0,0,0.1323,0.5523
1789917004.546,2026-09-20T23:10:04,1.2,0.0,1.0,1.0,1.0,1500,1500,1500,1500,45.2,0x0,617,7446,268,0.0,0.0,130895,2.0,2275.5,1.757,0.0027,0.2718,0.1957,0.224,0.0004,0,0.3765,0,0,0.0119,0,0,0.1285,0.5456
1789917005.565,2026-09-20T23:10:05,0.7,1.0,1.0,1.0,1.0,1500,1500,1500,1500,45.8,0x0,624,7438,268,0.0,0.0,130895,1.0,2354.5,1.861,0.0026,0.2722,0.1934,0.2173,0.0032,0,0.4867,0.0036,0,0.0076,0,0,0.1286,0.5454
1789917006.584,2026-09-20T23:10:06,1.2,0.0,0.0,2.0,2.9,1600,1600,1600,1600,46.3,0x0,609,7454,268,0.0,0.0,130895,1.0,2434.5,1.843,0.0026,0.2703,0.1929,0.2208,0.0032,0,0.4681,0,0,0.013,0,0,0.1261,0.5458
1789917007.607,2026-09-20T23:10:07,1.2,1.0,1.0,2.0,1.9,1600,1600,1600,1600,45.8,0x0,663,7399,268,0.0,0.0,130895,2.9,2519.6,1.899,0.0027,0.2712,0.2064,0.2252,0.0004,0,0.4731,0,0,0.0119,0,0,0.1242,0.5839
1789917008.629,2026-09-20T23:10:08,1.2,2.0,1.0,1.9,1.0,1600,1600,1600,1600,45.8,0x0,663,7400,268,0.0,0.0,130895,1.0,2596.1,1.971,0.0025,0.2708,0.1924,0.2231,0,0,0.3435,0.0036,0,0.0151,0,0,0.1263,0.7938
1789917009.749,2026-09-20T23:10:09,18.2,46.4,18.2,5.5,0.9,2400,2400,2400,2400,46.9,0x0,1833,6229,290,0.0,0.0,130895,46.5,3658.6,3.039,0.0026,0.2744,0.1923,0.2282,0,0,0.3213,0.0036,0,0.013,0,0,0.1263,1.8779
1789917010.767,2026-09-20T23:10:10,39.5,46.5,31.4,42.2,39.2,2400,2400,2400,2400,48.0,0x0,1909,6154,295,0.0,0.0,130895,122.8,3722.5,2.462,0.0025,0.2706,0.1925,0.2926,0,0,0.302,0,0,0.0033,0,0,0.1238,1.2749
1789917011.783,2026-09-20T23:10:11,1.0,0.0,2.9,1.0,0.0,2400,2400,2400,2400,46.3,0x0,1930,6132,295,0.0,0.0,130895,0.0,3722.5,2.28,0.0026,0.2682,0.1926,0.226,0.0002,0,0.194,0.0036,0,0.0088,0,0,0.1257,1.2583
1789917012.798,2026-09-20T23:10:12,14.3,16.8,20.8,8.0,10.1,2400,2400,2400,2400,48.0,0x0,1936,6126,295,0.0,0.0,130895,1.0,3695.5,3.529,0.0027,0.2713,0.1921,0.2432,0,0,0.3311,0,0,0.0119,0,0,0.1256,2.3516
1789917013.816,2026-09-20T23:10:13,5.2,1.0,0.0,21.2,0.0,2400,2400,2400,2400,48.0,0x0,1945,6117,295,0.0,0.0,130895,0.0,3695.5,2.599,0.0027,0.3133,0.1913,0.2372,0.0016,0,0.3087,0.0108,0,0.0713,0,0,0.1262,1.3363
1789917014.833,2026-09-20T23:10:14,13.5,0.0,1.0,51.5,1.0,2400,2400,2400,2400,48.0,0x0,1998,6065,295,0.0,0.0,130895,0.0,3693.0,4.055,0.0027,0.2735,0.1962,0.229,0.0008,0,0.2456,0.3499,0,0.075,0,0,0.1248,2.5576
1789917015.851,2026-09-20T23:10:15,21.2,0.0,1.0,77.4,2.9,2400,2400,2400,2400,49.6,0x0,2001,6061,295,0.0,0.0,130895,0.0,3667.0,3.736,0.0027,0.3057,0.2107,0.2309,0,0,0.307,0.0071,0,0.0238,0,0,0.1238,2.5239
1789917016.869,2026-09-20T23:10:16,18.4,1.9,0.0,71.6,1.0,2400,2400,2400,2400,49.6,0x0,2013,6049,295,0.0,0.0,130895,0.0,3667.0,3.826,0.0026,0.2762,0.1932,0.2306,0.0004,0,0.4566,0,0,0.0162,0,0,0.1268,2.5232
1789917017.886,2026-09-20T23:10:17,18.3,1.0,1.9,69.2,0.0,2400,2400,2400,2400,48.5,0x0,2037,6025,295,0.0,0.0,130895,0.0,3663.0,3.684,0.0027,0.2715,0.1954,0.2317,0,0,0.347,0,0,0.0227,0,0,0.1239,2.4894
1789917018.904,2026-09-20T23:10:18,18.7,0.0,68.2,1.0,2.9,2400,2400,2400,2400,48.5,0x0,2030,6032,295,0.0,0.0,130895,0.0,3644.5,3.763,0.0023,0.2721,0.1954,0.2295,0.0032,0,0.436,0,0,0.0239,0,0,0.1204,2.4801
1789917019.923,2026-09-20T23:10:19,18.3,3.0,4.9,1.9,65.7,2400,2400,2400,2400,48.5,0x0,2036,6027,295,0.0,0.0,130895,0.0,3642.0,3.89,0.0025,0.2705,0.1924,0.2341,0,0,0.434,0.0107,0,0.0216,0,0,0.1224,2.6022
1789917020.947,2026-09-20T23:10:20,17.8,0.0,2.0,0.0,68.0,2400,2400,2400,2400,48.5,0x0,2046,6016,295,0.0,0.0,130895,0.0,3642.0,3.766,0.0026,0.2729,0.194,0.2319,0,0.0002,0.3568,0,0,0.0151,0,0,0.1255,2.567
1789917021.964,2026-09-20T23:10:21,17.3,1.0,30.7,0.0,38.6,2400,2400,2400,2400,49.0,0x0,2077,5986,295,0.0,0.0,130895,0.0,3642.0,2.53,0.0026,0.2738,0.1934,0.2376,0,0,0.3185,0,0,0.0271,0,0,0.1251,1.3524
1789917022.98,2026-09-20T23:10:23,17.7,0.0,69.6,1.0,0.0,2400,2400,2400,2400,49.0,0x0,2088,5975,295,0.0,0.0,130895,0.0,3642.0,2.587,0.0025,0.2719,0.194,0.2376,0.0004,0,0.3344,0,0,0.0369,0,0,0.1212,1.3876
1789917023.998,2026-09-20T23:10:24,17.2,3.0,66.0,0.0,0.0,2400,2400,2400,2400,49.0,0x0,2091,5971,295,0.0,0.0,130895,0.0,3611.0,3.648,0.0027,0.2719,0.1935,0.2295,0.0008,0,0.3075,0.0143,0,0.0367,0,0,0.1271,2.4636
1789917025.015,2026-09-20T23:10:25,17.9,1.0,68.0,1.9,0.0,2400,2400,2400,2400,48.5,0x0,2099,5963,295,0.0,0.0,130895,0.0,3611.0,2.594,0.0027,0.2764,0.194,0.2307,0.0008,0,0.3295,0.0036,0,0.0333,0,0,0.127,1.3959
1789917026.033,2026-09-20T23:10:26,16.0,0.0,62.6,2.0,1.0,2400,2400,2400,2400,50.1,0x0,2100,5962,295,0.0,0.0,130895,0.0,3585.0,2.593,0.0026,0.2719,0.2066,0.2317,0,0,0.3208,0,0,0.025,0,0,0.1208,1.4135
1789917027.049,2026-09-20T23:10:27,7.6,1.0,30.1,0.0,0.0,2400,2400,2400,2400,48.5,0x0,2097,5966,295,0.0,0.0,130895,0.0,3585.0,2.646,0.0027,0.2706,0.1929,0.2287,0.0002,0,0.1815,0.3532,0,0.0065,0,0,0.1259,1.2835
1789917028.064,2026-09-20T23:10:28,1.2,0.0,1.0,0.0,2.0,2400,2400,2400,2400,48.0,0x0,2097,5965,295,0.0,0.0,130895,0.0,3585.0,2.616,0.0025,0.2728,0.1944,0.2282,0,0,0.1724,0.3498,0,0.0065,0,0,0.1225,1.2666
1789917029.079,2026-09-20T23:10:29,0.7,1.0,1.0,1.0,2.0,2400,2400,2400,2400,47.4,0x0,2096,5967,295,0.0,0.0,130895,0.0,3585.0,2.647,0.0025,0.2697,0.1932,0.2323,0.0004,0,0.1716,0.3677,0,0.0087,0,0,0.1263,1.2745
1789917030.095,2026-09-20T23:10:30,4.9,2.0,3.0,3.0,10.9,1500,1500,1500,1500,47.4,0x0,2095,5968,295,0.0,0.0,130895,0.0,3585.0,1.942,0.0027,0.2703,0.1956,0.2179,0.0016,0,0.1787,0.3647,0,0.0066,0,0,0.1322,0.5713
1789917031.113,2026-09-20T23:10:31,1.7,1.0,1.0,0.0,3.9,1600,1600,1600,1600,46.9,0x0,2093,5969,295,0.0,0.0,130895,0.0,3585.0,2.174,0.0027,0.2715,0.1937,0.2252,0.0004,0,0.165,0.3612,0,0.0054,0,0,0.1239,0.8244
1789917032.131,2026-09-20T23:10:32,0.5,0.0,1.0,0.0,2.0,1600,1600,1600,1600,46.9,0x0,2086,5977,295,0.0,0.0,130895,0.0,3585.0,1.895,0.0026,0.2715,0.1945,0.2172,0,0,0.1714,0.3291,0,0.0033,0,0,0.1274,0.5779
